DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2016,10:31,BROOKLYN,11208,40.6785448,-73.8707971,"(40.6785448, -73.8707971)",                                ,                                ,416 CRESCENT STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459384,PASSENGER VEHICLE,OTHER,,,
06/09/2016,18:33,BROOKLYN,11239,40.6512513,-73.8689472,"(40.6512513, -73.8689472)",                                ,                                ,501 GATEWAY DRIVE                       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459387,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,17:55,BROOKLYN,11207,40.6718921,-73.8958679,"(40.6718921, -73.8958679)",PENNSYLVANIA AVENUE             ,PITKIN AVENUE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459389,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,21:05,BROOKLYN,11208,40.6759371,-73.8682281,"(40.6759371, -73.8682281)",PITKIN AVENUE                   ,AUTUMN AVENUE                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459390,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,23:50,BROOKLYN,11207,40.668646,-73.9000581,"(40.668646, -73.9000581)",                                ,                                ,516 SUTTER AVENUE                       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459391,PASSENGER VEHICLE,OTHER,,,
06/09/2016,16:40,BROOKLYN,11215,40.6785478,-73.9859826,"(40.6785478, -73.9859826)",                                ,                                ,550 UNION STREET                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459397,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,16:30,BROOKLYN,11215,40.6750759,-73.9880022,"(40.6750759, -73.9880022)",3 AVENUE                        ,3 STREET                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459399,PASSENGER VEHICLE,,,,
06/09/2016,18:18,BROOKLYN,11215,40.6734869,-73.9729552,"(40.6734869, -73.9729552)",8 AVENUE                        ,UNION STREET                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459400,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,7:58,BROOKLYN,11217,40.6780423,-73.982619,"(40.6780423, -73.982619)",4 AVENUE                        ,SACKETT STREET                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459402,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
06/09/2016,6:20,BROOKLYN,11221,40.6911932,-73.9157211,"(40.6911932, -73.9157211)",                                ,                                ,1215 PUTNAM AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459403,PASSENGER VEHICLE,OTHER,,,
